W, GeV F1 = [0] + [1]/Q^2 + [2] /Q^4
1.2 -9.948100614139208e-07 9.494050023423073e-05 0.0943228965409062
1.22 -9.966917795050903e-07 7.515011390957227e-09 0.1166147367085652
1.24 -9.995140453727834e-07 4.033834466704578e-06 0.13221216734706637
1.26 -2.5666511025155733e-07 2.884637142930302e-06 0.14265582733863222
1.28 -9.896399981772883e-07 1.9604998789390926e-06 0.14832991702150022
1.3 -9.930827323443514e-07 7.987394467778852e-07 0.155178400817658
1.32 -9.996085510252036e-07 2.8176125599355117e-09 0.1678771721051915
1.34 -9.996170881027647e-07 1.1080587937195574e-06 0.17937181947209946
1.36 -9.40031116946227e-07 3.1646802955975772e-09 0.190133948888126
1.38 -9.966475754816386e-07 2.07931748874568e-07 0.1967410351016326
1.4 -9.999234435057873e-07 6.427089693783472e-10 0.20613056313473033
1.42 -9.999358383822403e-07 4.500264050300018e-11 0.21950296362269567
1.44 -9.999015641896692e-07 8.604997270289516e-11 0.23971105598644124
1.46 -9.999973803553163e-07 2.8629515147482465e-09 0.28107822143350775
1.48 4.1152927992955705e-08 8.168231357963407e-08 0.3489790364606401
1.5 -9.997917667120933e-07 3.342065600930866e-07 0.39977726514121303
1.52 -9.995507929907716e-07 2.0614066009727594e-13 0.39605237823937334
1.54 -9.999818445328324e-07 3.57753948077022e-07 0.35825505707741645
1.56 -9.827076394926577e-07 5.1636029136381545e-06 0.32424583869771084
1.58 -9.9424070444047e-07 1.0097326950675445e-06 0.3006236333261119
1.6 -9.9481201041987e-07 8.563537265277033e-06 0.2863918359695067
1.62 -7.366025117406934e-07 0.0002923274969288403 0.3152751693911038
1.64 -9.999995720139492e-07 2.0643622922200677e-10 0.30831519864506535
1.66 -9.996357423594354e-07 3.0126670741426054e-08 0.3361539262651225
1.68 -9.920368107218219e-07 3.112367823743245e-07 0.36291988247578844
